candidato,origen_paquete,familia,criterio,estado_fuente,senal_fallo,fuente_ficha,fuente_seccion,fuente_cita,convencion_a,observacion
_delete_copper (núcleo borrado cobre),original,S,S1,no_cumple,1,01-delete-copper.md,S1,Los 4 destinos de d2 son helpers de fan-in alto compartido; ninguno se propone mover junto con K,no,
_delete_copper (núcleo borrado cobre),original,S,S2,cumple,0,01-delete-copper.md,S2,Reexports: 0 nuevos necesarios (d4=0),no,
_delete_copper (núcleo borrado cobre),original,S,S3,no_determinante,,01-delete-copper.md,S3,"S3.c = moderada, sin la mitigación de S1/S8 no hay justificación de alta evitable",no,
_delete_copper (núcleo borrado cobre),original,S,S4,no_determinante,,01-delete-copper.md,S4,COBERTURA_INFERIDA para _match_copper/tolerancia; REFERENCIADA/DEMOSTRADA parcial para el camino feliz,no,
_delete_copper (núcleo borrado cobre),original,S,S5,cumple,0,01-delete-copper.md,S5,Fuera de zonas prohibidas: cumple (F-DT.1 ya lo dejó pasar),no,
_delete_copper (núcleo borrado cobre),original,S,S6,no_evaluado_o_na,,01-delete-copper.md,S6,REFERENCIA_EXISTENTE (sin relación directa) con P1-2/DT3,no,
_delete_copper (núcleo borrado cobre),original,S,S7,cumple,0,01-delete-copper.md,S7,S7.a 149>=80 SÍ; S7.c 188>=100 SÍ (S7.b NO),no,
_delete_copper (núcleo borrado cobre),original,S,S8,no_determinante,,01-delete-copper.md,S8,Bajo Opción A no llega a evaluarse con sentido; bajo Opción B S8 falla (d1 empeora 1→4),no,
_delete_copper (núcleo borrado cobre),original,R,R1,no_activado,0,01-delete-copper.md,R activados,R1 no (bridge sí es inyectable/ya lo es en el patrón register_x existente),no,
_delete_copper (núcleo borrado cobre),original,R,R2,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R3,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R4,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R5,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R6,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R7,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R8,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R9,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R10,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R11,activado,1,01-delete-copper.md,R activados,"R11 aplicable bajo Opción B — S7 se satisface, M2 no domina (de hecho empeora)",no,condicionado a Opción B
_delete_copper (núcleo borrado cobre),original,R,R12,activado,1,01-delete-copper.md,R activados,R12 SÍ bajo Opción A — introduce ciclos de import (S1 refutada),no,condicionado a Ruta/Opción A
_delete_copper (núcleo borrado cobre),original,R,R13,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_delete_copper (núcleo borrado cobre),original,R,R14,no_evaluado_o_na,,01-delete-copper.md,(ninguna),ausencia declarada,no,
_audit_error,original,S,S1,cumple,0,02-audit-error.md,S1,d2=0: no hay ninguna arista saliente de K hacia V\K. S1(b),no,
_audit_error,original,S,S2,cumple,0,02-audit-error.md,S2,"Con d4=1 y 11 consumidores se necesita 1 reexport, bajo UMBRAL_R7_REEXPORTS=3",no,
_audit_error,original,S,S3,cumple,0,02-audit-error.md,S3,"Función pura top-level, patrón idéntico a DT1 Slice 1. S3.c = simple",no,
_audit_error,original,S,S4,no_determinante,,02-audit-error.md,S4,COBERTURA_INFERIDA; nunca se asertan sus campos directamente en un test dedicado,no,
_audit_error,original,S,S5,cumple,0,02-audit-error.md,S5,S5 cumple,no,
_audit_error,original,S,S6,no_evaluado_o_na,,02-audit-error.md,S6,REFERENCIA_EXISTENTE (sin relación con P1-2/DT3; formateo de auditoría),no,
_audit_error,original,S,S7,no_cumple,1,02-audit-error.md,S7,"S7 NO cumple ninguna cuantitativa (0<80, 0<3, 8<100)",no,
_audit_error,original,S,S8,cumple,0,02-audit-error.md,S8,M2 no empeora bajo diseño mínimo (cumple trivialmente por igualdad) pero no domina,no,
_audit_error,original,R,R1,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R2,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R3,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R4,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R5,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R6,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R7,no_activado,0,02-audit-error.md,S2,R7 no se activa,no,
_audit_error,original,R,R8,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R9,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R10,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R11,activado,1,02-audit-error.md,R activados,"R11 (beneficio marginal — S7 no se satisface por ninguna vía cuantitativa, S7.d no demostrable)",no,
_audit_error,original,R,R12,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R13,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
_audit_error,original,R,R14,no_evaluado_o_na,,02-audit-error.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,S,S1,no_cumple,1,03-get-footprint-neighbors.md,S1,"_copper_distance_to_bbox llama a _segment_intersects_bbox, que no forma parte de K",no,
get_footprint_neighbors (vecindad geométrica),original,S,S2,cumple,0,03-get-footprint-neighbors.md,S2,"S2 — cumple (0 reexports nuevos, d4=0)",no,
get_footprint_neighbors (vecindad geométrica),original,S,S3,no_determinante,,03-get-footprint-neighbors.md,S3,"S3 — moderada (1 closure + 4 helpers, mismo patrón que ficha 1)",no,
get_footprint_neighbors (vecindad geométrica),original,S,S4,cumple,0,03-get-footprint-neighbors.md,S4,COBERTURA_DEMOSTRADA razonable para la superficie del tool (test_get_footprint_neighbors_closest_edge asertado),no,
get_footprint_neighbors (vecindad geométrica),original,S,S5,cumple,0,03-get-footprint-neighbors.md,S5,S5 — cumple,no,
get_footprint_neighbors (vecindad geométrica),original,S,S6,no_evaluado_o_na,,03-get-footprint-neighbors.md,S6,"REFERENCIA_EXISTENTE; DT3 acotada a geometría dentro de bridge/, este cluster vive en tools/pcb.py",no,
get_footprint_neighbors (vecindad geométrica),original,S,S7,cumple,0,03-get-footprint-neighbors.md,S7,S7.a 144>=80 SÍ; S7.c 207>=100 SÍ,no,
get_footprint_neighbors (vecindad geométrica),original,S,S8,no_determinante,,03-get-footprint-neighbors.md,S8,S8 falla bajo Opción B; no evaluable con sentido bajo Opción A (S1 ya refutada),no,
